Station Name: PHOENIX PARK,,,,,,,,
Station Height: 48 M ,,,,,,,,
Latitude:53.364  ,,,,,,,,
,,,,,,,,
,,,,,,,,
date:  -  00 to 00 utc,,,,,,,,
rain:  -  Precipitation Amount (mm),,,,,,,,
"maxtp: -  Maximum Air Temperature (C)	  ",,,,,,,,
mintp: -  Minimum  Air Temperature (C),,,,,,,,
gmin:  -  09utc Grass Minimum Temperature (C),,,,,,,,
soil:  -  Mean 10cm soil temperature (C),,,,,,,,
cbl:   -  Mean CBL Pressure (hpa),,,,,,,,
ind:   -  Indicator (i),,,,,,,,
,,,,,,,,
date,maxtp,mintp,igmin,gmin,rain,cbl,soil,Good weather
08-Feb-10,4.9,2,0,1.5,0.2,1012.2,4.038,
09-Feb-10,6.5,1.4,0,-0.2,0.5,1013.1,3.569,
10-Feb-10,6.1,-2.8,0,-6,0.2,1017.8,2.561,
11-Feb-10,6.2,-4.3,0,-8,0,1021.7,1.78,
12-Feb-10,7.2,-1.6,0,-5.8,0,1022.7,2.204,
13-Feb-10,5.9,-1.4,0,-2.7,0,1021.1,3.061,
14-Feb-10,6.2,-1,0,-4.5,0.4,1013.5,3.09,
15-Feb-10,7.8,1,0,-0.3,1.6,998.7,4.589,
16-Feb-10,6.1,-0.6,0,-4,0,985.9,3.308,
17-Feb-10,6.4,-2.4,0,-7.2,0,985,2.41,
18-Feb-10,5.4,-2.3,0,-8,0,987.6,2.099,
19-Feb-10,4.3,-1.3,0,-5.7,0.4,990.3,2.219,
20-Feb-10,5.6,-2.4,0,-7.6,5,989.4,2.605,
21-Feb-10,0.8,-3.1,0,-1.6,0,985.9,2.523,
22-Feb-10,5.1,-3.1,0,-6.8,0,984.7,2.11,
23-Feb-10,3.8,1,0,-1,5.5,983,2.085,
24-Feb-10,6.6,2.5,0,0,2.8,980.9,4.032,
25-Feb-10,3.2,0.1,0,-0.1,3.9,981.3,3.564,
26-Feb-10,7,0.2,0,-1.9,0.5,983.4,3.843,
27-Feb-10,8.1,-1.1,0,-3.9,0,985.7,3.706,
28-Feb-10,5.1,-1.1,0,-3.4,0.1,991.5,3.39,
01-Mar-10,8.9,-1.6,0,-6.5,0,1005.6,3.619,
02-Mar-10,7.6,-3.8,0,-8.5,0,1015,3.226,
03-Mar-10,6.7,1,0,-0.3,0,1013.6,3.989,
04-Mar-10,7.2,-3.4,0,-7,0,1020.8,3.513,
05-Mar-10,10.6,-3,0,-8.1,0,1026.7,3.764,
06-Mar-10,8.7,1.5,0,-4.1,0,1024,4.414,
07-Mar-10,6.7,-2.8,0,-7.4,0,1026.1,4.053,
08-Mar-10,6.8,-4.9,0,-9.3,0,1025.7,2.763,
09-Mar-10,9.1,-4.5,0,-8.7,0,1027.4,2.27,
10-Mar-10,8.3,-4,0,-8.1,0,1026.8,2.372,
11-Mar-10,8.7,-4.5,0,-8.8,0,1022.5,2.556,
12-Mar-10,10.5,3,0,-3.9,0,1022.2,4.364,
13-Mar-10,9.6,1.3,0,-4.2,0,1027,5.18,
14-Mar-10,13.1,1.3,0,-4.3,0,1026.7,5.425,
15-Mar-10,9.9,2.1,0,-5.5,0.2,1022.8,5.01,
16-Mar-10,9.4,-1,0,-5.1,0,1014.5,4.456,
17-Mar-10,15.2,8.1,0,1.9,0,1008,7.234,
18-Mar-10,13.7,9.8,0,6.2,0.2,999.8,7.935,
19-Mar-10,11.3,6.1,0,1.9,1.7,999.9,7.506,
20-Mar-10,12.3,0.9,0,5,4.2,1000.3,7.773,
21-Mar-10,15.1,0.4,0,-3.9,0,1005.9,7.299,
22-Mar-10,12.1,1.6,0,5.1,4.9,1004.4,8.587,
23-Mar-10,10.7,1.2,0,-2.9,0.5,1002.8,6.582,
24-Mar-10,13.2,6.6,0,3.2,1.5,993.3,8.557,
25-Mar-10,13.3,6.5,0,4.5,10.5,989.7,9.538,
26-Mar-10,14,5.8,0,4.1,2.9,989.6,9.54,
27-Mar-10,12.5,3.8,0,-1.2,0,998.1,9.035,
28-Mar-10,11.9,4.1,0,0,0,999.9,8.611,
29-Mar-10,10.7,4.1,0,2.1,15.5,988.2,7.688,
30-Mar-10,4.2,0.4,0,-0.1,15.2,977.4,5.884,
31-Mar-10,7.6,0.7,0,0,0.8,990.5,5.86,
01-Apr-10,10.7,0.1,0,-3.7,0,997.5,5.842,
02-Apr-10,9.2,0.6,0,-3.4,2,991.2,6.169,
03-Apr-10,10.4,0,0,-3.3,4.1,995.8,7.05,
04-Apr-10,10.2,0,0,-2.5,0.6,1005.2,6.82,
05-Apr-10,14.7,8,0,5.6,1.9,1002.5,9.585,
06-Apr-10,11.6,5.9,0,7.9,5.7,1002.7,9.84,
07-Apr-10,13.1,3,0,-0.5,0.1,1015.2,9.564,
08-Apr-10,15.1,5.3,0,0.5,0,1024.2,10.182,
09-Apr-10,15.4,4.3,0,0.7,0,1026.4,11.06,
10-Apr-10,16.8,2.1,0,-1.8,0,1026.8,10.158,
11-Apr-10,16.9,2.7,0,-0.4,0,1025.4,10.988,
12-Apr-10,14.3,5.1,0,0.7,0,1024.6,11.657,
13-Apr-10,12.7,3.9,0,0.1,0,1022.8,11.35,
14-Apr-10,10.4,2.1,0,1.3,0,1020.4,10.703,
15-Apr-10,10.3,0.1,0,-2.5,0,1021.9,8.64,
16-Apr-10,13.7,0.5,0,-2.7,0,1022.9,9.96,
17-Apr-10,17.3,2.3,0,-1.9,0,1015.8,11.618,
18-Apr-10,13.1,2,0,-0.8,0,1011.8,10.93,
19-Apr-10,10.3,1.7,0,1.4,0,1013.5,10.622,
20-Apr-10,11.8,1.4,0,-3.1,0,1016.3,9.551,
21-Apr-10,11.1,-1.3,0,-4.6,0,1017.7,10.447,
22-Apr-10,12.3,0,0,-2.9,0,1013.4,11.135,
23-Apr-10,16.2,5.4,0,-0.2,0,1008.7,13.13,
24-Apr-10,17.3,2.4,0,-0.9,0.1,1007.3,12.542,
25-Apr-10,18.7,9.4,0,8.8,3,1010.2,13.792,
26-Apr-10,18.7,8.5,0,4.9,0,1017.3,14.097,
27-Apr-10,16.5,8,0,4.5,0.1,1015.7,13.565,
28-Apr-10,18.2,10.9,0,9.1,2.1,1008.3,14.99,
29-Apr-10,14.2,7.2,0,6,0.2,1003.6,13.95,
30-Apr-10,15,6.9,0,3.5,3.2,1001.2,13.185,
01-May-10,12,5.5,0,3,5.2,1005.4,11.592,
02-May-10,10.8,3.8,0,6.3,1.6,1013.5,10.957,
03-May-10,12.4,2.2,0,0,0,1022.7,9.82,
04-May-10,13.1,2.6,0,-0.3,0,1024.7,10.35,
05-May-10,16.9,8.1,0,8.1,3.8,1017.5,12.337,
06-May-10,13.9,9.2,0,10,3,1010.5,12.743,
07-May-10,12.1,7,0,6.2,1.7,1011.5,11.855,
08-May-10,12.9,5.1,0,3.6,0,1013.2,12.012,
09-May-10,13.3,3.1,0,0,0,1010.8,13.023,
10-May-10,10.4,3,0,2.1,1.4,1010.6,12.08,
11-May-10,11.1,0.6,0,-1.3,3.7,1010.8,10.565,
12-May-10,10.1,0.3,0,-1.1,0.6,1011.2,10.495,
13-May-10,13.5,2,0,0.5,1.5,1005.2,11.675,
14-May-10,15.3,5.7,0,3.8,0.8,1005.2,13.263,
15-May-10,15.8,3.9,0,1.2,0,1009.5,13.11,
16-May-10,15.8,4.7,0,1.8,0,1012,14.245,
17-May-10,15.4,5.2,0,2.2,0,1018.6,14.335,
18-May-10,16.5,6.4,0,4.1,2.8,1020.2,14.425,
19-May-10,19.2,11,0,11.2,1.1,1021,15.608,
20-May-10,20.6,11.6,0,10.7,0,1024.9,17.47,
21-May-10,21.4,9.7,0,9.6,0,1025.1,18.167,
22-May-10,22.1,8.3,0,6.7,0,1022.8,18.892,
23-May-10,24.6,10.2,0,9.1,0,1017.1,19.905,
24-May-10,18.8,9.1,0,9.9,0,1011.9,18.895,
25-May-10,15.4,4.1,0,2.3,0,1009.8,17.487,
26-May-10,15.4,5.3,0,3.9,0,1007.4,17.17,
27-May-10,15.6,3.5,0,1.2,0,1005.6,16.305,
28-May-10,16.8,3.5,0,0.5,0,1006.8,15.705,
29-May-10,12.8,9,0,9.4,8.4,1001,14.682,
30-May-10,17.1,5.8,0,3.8,0,1009.5,15.4,
31-May-10,17.8,8.2,0,6,9,1012.6,16.52,
01-Jun-10,19.7,9.5,0,9.6,13,1010.8,17.273,
02-Jun-10,19.1,9.1,0,7.2,0,1015.7,17.837,
03-Jun-10,21.9,9.3,0,7.2,0,1014.4,18.405,
04-Jun-10,23.5,10.9,0,9.6,0,1011.8,19.44,
05-Jun-10,21.7,11.9,0,10.2,0,1011.8,19.84,
06-Jun-10,15.8,11.2,0,10.6,12.6,1008.8,17.743,
07-Jun-10,17.5,11.3,0,11,12.8,1001.2,16.528,
08-Jun-10,15.4,12.1,0,12.3,1.1,995.8,15.925,
09-Jun-10,16.8,12.3,0,13,0,1002.5,16.125,
10-Jun-10,16.3,8,0,11.1,0,1008.8,14.818,
11-Jun-10,19.8,6.3,0,4.2,0,1009.3,15.413,
12-Jun-10,18.7,10.9,0,10.2,0,1013,17.475,
13-Jun-10,17.6,8.4,0,8.7,12.1,1010.2,16.965,
14-Jun-10,17,6.9,0,4.8,0.1,1017.7,16.212,
15-Jun-10,19,6.7,0,5.6,0,1024.2,18.028,
16-Jun-10,21.8,8.2,0,7,0,1022.3,19.29,
17-Jun-10,19.5,11.2,0,10.9,0,1019.5,19.265,
18-Jun-10,20,10.6,0,8.8,0,1017.2,18.795,
19-Jun-10,16.6,6.4,0,4.4,0,1016.2,18.82,
20-Jun-10,20.9,5.6,0,3.6,0,1017.6,20.068,
21-Jun-10,23.5,12.1,0,10.7,0,1016.2,22.198,
22-Jun-10,22.7,11,0,9.1,0,1016.1,22.432,
23-Jun-10,21.7,11.6,0,9.3,0,1013.8,21.25,
24-Jun-10,19.9,12.1,0,10.7,0,1014,20.567,
25-Jun-10,20.9,10.8,0,8.8,0,1011.7,19.552,
26-Jun-10,23.2,11.9,0,10,0,1008.8,20.48,
27-Jun-10,24,12.7,0,12.2,0,1010.5,22.083,
28-Jun-10,21,12.1,0,9.4,2.3,1010.8,20.318,
29-Jun-10,21,11.6,0,10.1,0,1012.8,21.825,
30-Jun-10,23,12.6,0,10.5,0.5,1008.4,21.38,
01-Jul-10,23.4,15.6,0,14.7,2.2,999.9,21.535,
02-Jul-10,21.8,12,0,11.1,0.1,1002.5,21.055,
03-Jul-10,21.1,11.1,0,7.9,0,1010,20.858,
04-Jul-10,21.8,11.9,0,13.8,1,1008.2,21.882,
05-Jul-10,19.5,9.8,0,7.7,0.1,1016.9,21.003,
06-Jul-10,18.9,9.5,0,8.3,0,1014.2,19.72,
07-Jul-10,21.6,13.2,0,14,1,1007.8,20.917,
08-Jul-10,18.8,12.8,0,11,2.3,1008.8,19.847,
09-Jul-10,18.6,13.8,0,14.1,13.2,1006.5,19.225,
10-Jul-10,20.5,15.1,0,13.9,6.7,1002.9,19.083,
11-Jul-10,19.3,10.5,0,10,0,1004.8,19.032,
12-Jul-10,18.9,10.9,0,10.1,0,1007.9,18.615,
13-Jul-10,17.4,11.4,0,10.7,5.8,999.7,17.555,
14-Jul-10,19.7,13.3,0,13.8,1.8,990.2,18.443,
15-Jul-10,20.8,10.6,0,10,7.7,989,19.145,
16-Jul-10,18.4,10.2,0,10.9,15.4,996.1,18.307,
17-Jul-10,18.7,11.1,0,9.7,8.2,1009.3,17.875,
18-Jul-10,22.2,14.9,0,13,2.8,1010.4,18.99,
19-Jul-10,20.9,15.9,0,15.5,2.4,1008.5,19.315,
20-Jul-10,19.4,13.9,0,14,2.6,1002.1,19.513,
21-Jul-10,19.7,12.9,0,14.5,0.1,999.1,19.502,
22-Jul-10,16.3,12.7,0,10.8,0.5,1007.8,18.022,
23-Jul-10,20.7,11,0,7.8,0,1015.4,19.285,
24-Jul-10,22.4,13.1,0,9.2,0.4,1014,19.18,
25-Jul-10,21.8,13.5,0,10.6,0,1013.3,18.952,
26-Jul-10,24.7,16.6,0,16.6,0,1012.4,21.38,
27-Jul-10,21.1,12.6,0,15,0.8,1012,21.062,
28-Jul-10,19.8,12.6,0,8.4,0,1013,20.39,
29-Jul-10,19.3,13.3,0,13.1,0,1012,19.715,
30-Jul-10,19.4,13.9,0,11.8,5.2,1006.9,19.525,
31-Jul-10,19.3,12.8,0,11.2,3.3,1005.2,18.955,
01-Aug-10,19.2,12.2,0,10.4,1.4,1009.5,19.1,
02-Aug-10,16.7,9.2,0,5.1,0,1013.2,17.58,
03-Aug-10,17.9,10.9,0,12.7,1.9,1007.7,18.235,
04-Aug-10,19.1,10.9,0,11.1,3.8,1004.7,18.233,
05-Aug-10,20.3,12.1,0,10.1,0,1006.4,18.823,
06-Aug-10,19.3,13.8,0,13.1,0.8,1003.3,18.74,
07-Aug-10,19.8,13.9,0,11.1,0.6,1010.2,18.628,
08-Aug-10,21.5,13.1,0,12.5,0,1012.8,19.74,
09-Aug-10,20,9.8,0,11.5,1.2,1006.2,20.163,
10-Aug-10,20.6,9.6,0,5.2,0,1004.1,19.142,
11-Aug-10,18.6,8.5,0,4.6,1.1,1009.6,17.948,
12-Aug-10,16.9,11,0,7,0.1,1015,17.12,
13-Aug-10,18.4,10.3,0,6.3,0,1017.6,17.432,
14-Aug-10,19.5,8.2,0,3.6,0,1017.2,17.573,
15-Aug-10,21.2,10,0,6,0,1019,19.228,
16-Aug-10,18.2,11.4,0,7,3.9,1011.8,17.975,
17-Aug-10,18.8,13.1,0,14.1,0.4,1005.3,18.85,
18-Aug-10,18.8,10.4,0,6.1,2.5,1001.2,18.175,
19-Aug-10,19.1,11.2,0,7.6,3.2,998.6,16.65,
20-Aug-10,21.6,9.7,0,14.4,2.9,1001.5,18.888,
21-Aug-10,20.6,9.6,0,6.2,0,1008.2,17.483,
22-Aug-10,21.7,12.1,0,8.4,3.2,1003.6,18.33,
23-Aug-10,17,10.3,0,12.8,6.4,995.2,17.888,
24-Aug-10,19.2,8.2,0,7.4,0.7,1002.1,16.267,
25-Aug-10,16.5,6.2,0,2.4,0,1006.1,15.705,
26-Aug-10,17.9,9.7,0,4.6,0,1003.9,16.38,
27-Aug-10,19.9,7.9,0,2.9,0.3,1010.1,16.807,
28-Aug-10,18.9,8.4,0,3.3,0,1016,16.282,
29-Aug-10,17.1,6.3,0,11.2,0.2,1016.6,17.175,
30-Aug-10,17.1,3.7,0,-1.7,0,1021.6,15.995,
31-Aug-10,18.7,4.4,0,-0.6,0,1018.7,16.225,
01-Sep-10,19.6,6.7,0,2.3,0,1015,16.602,
02-Sep-10,22.1,7.8,0,2.5,0,1014.4,17.538,
03-Sep-10,21.8,8.5,0,3.5,0,1013.3,17.952,
04-Sep-10,17.6,12.8,0,7.7,9.1,1011.2,16.642,
05-Sep-10,16.6,14.8,0,11.4,0.9,1005.2,16.263,
06-Sep-10,15.6,13.2,0,13.6,15.7,994.7,15.395,
07-Sep-10,17.6,9.9,0,9.3,1.2,990.8,15.86,
08-Sep-10,20,9.9,0,4.6,0.2,998,15.448,
09-Sep-10,19.9,12.1,0,8.4,4.6,1006,16.66,
10-Sep-10,21.5,15.2,0,13.5,9.2,1003.3,18.205,
11-Sep-10,18.8,9.7,0,7.8,3.3,1007.6,17.417,
12-Sep-10,18.2,8.4,0,4.3,1,1016.7,15.597,
13-Sep-10,20.1,13.2,0,12,5.5,1013.5,16.278,
14-Sep-10,18,9.3,0,15.2,7.3,1007.2,16.903,
15-Sep-10,17.1,8.9,0,5.3,0.3,1006.1,14.3,
16-Sep-10,16.9,9.4,0,5.7,1.1,1009.8,14.722,
17-Sep-10,14.7,5.7,0,1.2,0,1014.1,13.092,
18-Sep-10,14.6,5.1,0,1.1,3.1,1011.6,12.743,
19-Sep-10,18,12.9,0,11.7,8.6,1004,14.698,
20-Sep-10,20.8,12.6,0,9.8,0.2,1004.8,16.09,
21-Sep-10,20.1,12.2,0,8.3,0,1008.7,15.675,
22-Sep-10,21.1,13,0,10.4,14.2,1004,16.395,
23-Sep-10,16.5,11.5,0,9.9,6,1000.4,15.97,
24-Sep-10,13.9,5.2,0,8.2,0,1008.9,13.693,
25-Sep-10,11.5,3.1,0,-1.2,0,1015.9,10.872,
26-Sep-10,13.8,7.2,0,5.4,0,1013.6,12.752,
27-Sep-10,15.8,3.7,0,-0.1,0,1010,12.843,
28-Sep-10,17.3,7.5,0,2.5,2.4,1007.2,13.035,
29-Sep-10,17.1,8.6,0,8.5,2.9,1006.7,14.267,
30-Sep-10,15.9,6.2,0,1.3,0.1,1000.4,12.21,
01-Oct-10,17.8,7.3,0,10.7,0.7,988.6,13.79,
02-Oct-10,15,10.2,0,1.8,0.5,989.7,11.98,
03-Oct-10,17.8,8.2,0,6.2,0,988.1,13.668,
04-Oct-10,16.8,7.1,0,0.8,0,987.5,12.065,
05-Oct-10,16.4,10.7,0,6.8,0,987.2,12.552,
06-Oct-10,17,6.9,0,0.9,0,996.4,12.195,
07-Oct-10,17.5,8.7,0,3.2,0,1005.7,12.318,
08-Oct-10,19.2,14.2,0,11.4,0.1,1005.8,14.733,
09-Oct-10,16.4,13.2,0,9.8,0,1008.6,14.255,
10-Oct-10,14.4,11.7,0,11,0,1011.2,13.042,
11-Oct-10,16,6.1,0,0.9,0.2,1015.8,11.545,
12-Oct-10,14.9,4.7,0,-0.3,0,1017.4,11.015,
13-Oct-10,10.8,9.2,0,1.4,0,1017.7,11.26,
14-Oct-10,11.4,9.2,0,8.6,0,1018.4,11.15,
15-Oct-10,15.1,6.8,0,2.4,0,1016.9,11.605,
16-Oct-10,13.4,3.5,0,-1,0,1019.1,9.688,
17-Oct-10,13.3,1.6,0,-2.9,0,1019.4,8.809,
18-Oct-10,13.3,7.8,0,2.9,0.5,1013.5,10.78,
19-Oct-10,12.1,2.3,0,0.6,0.2,1011.2,9.24,
20-Oct-10,10.2,-0.3,0,-5.5,0,1016.8,6.668,
21-Oct-10,13.2,3.8,0,-2.7,0,1015,7.895,
22-Oct-10,12.5,6.5,0,0.9,2.8,1005.7,8.442,
23-Oct-10,12.4,4.9,0,3.1,0.1,1002.2,9.475,
24-Oct-10,10.6,-0.3,0,-5.8,0.1,1014.5,6.67,
25-Oct-10,12.4,-2.1,0,-6.5,0.3,1017.2,5.966,
26-Oct-10,17.7,10.9,0,2.3,1.8,1006.4,10.965,
27-Oct-10,14.1,8.7,0,6.1,4.5,1003.7,10.108,
28-Oct-10,16,7.7,0,3.2,0.4,996.4,9.507,
29-Oct-10,15.7,6.4,0,9.8,9.7,981.9,10.74,
30-Oct-10,13.3,3.1,0,-1.5,0.5,986.1,7.452,
31-Oct-10,11.6,5,0,0.6,3,998.1,9.075,
01-Nov-10,14.1,3.6,0,-0.9,0.8,1003.2,7.92,
02-Nov-10,12.8,9.3,0,7.1,7.4,995.2,9.56,
03-Nov-10,14.9,8.1,0,3.5,3.5,1000.7,9.327,
04-Nov-10,16.6,12,0,9.9,7.3,1004.7,12.802,
05-Nov-10,12,8.3,0,7.1,3.7,1011.2,10.61,
06-Nov-10,8.4,2.7,0,-2,3.9,1010.8,8.385,
07-Nov-10,7.1,2.1,0,-1.6,4,988.1,6.803,
08-Nov-10,9.8,3.2,0,-1.1,7,962.2,6.72,
09-Nov-10,9.2,3,0,0.5,6.8,978.3,7.044,
10-Nov-10,9.2,-1.1,0,-5.8,0.6,990.7,4.485,
11-Nov-10,11.8,7.8,0,-2.2,5.5,976.6,7.269,
12-Nov-10,9.9,5.7,0,4.5,2.7,981.2,6.818,
13-Nov-10,8.2,4.3,0,-0.4,1.9,983.5,5.589,
14-Nov-10,6.6,-1.2,0,-4,0,991.5,4.414,
15-Nov-10,8.5,-2.1,0,-6,0,1005.8,2.962,
16-Nov-10,10.4,1.6,0,-5,2.7,1002.4,3.968,
17-Nov-10,11.9,6.7,0,-0.1,8.1,989.5,7.105,
18-Nov-10,11.3,5,0,4.9,0,992.2,7.103,
19-Nov-10,10.5,1.4,0,-3.8,1.1,1002.2,4.279,
20-Nov-10,9.5,5.5,0,-2.4,0.1,1008.8,5.738,
21-Nov-10,7.7,2.6,0,1,2,1010.8,5.439,
22-Nov-10,6.6,1,0,-1.2,16.7,1009.1,4.413,
23-Nov-10,6.7,2.5,0,-0.8,1.3,1010.4,4.264,
24-Nov-10, , ,0,-4, , ,2.824,
25-Nov-10,4.1,-1.7,4, ,0.9,1009.5,1.49,
26-Nov-10,3.8,-1.9,0,-5.4,0,1004.2,1.679,
27-Nov-10,3.2,-2.6,0,-8,4.4,1003.3,1.364,
28-Nov-10,-1.1,-7.2,0,-8.4,1,1003.2,1.289,
29-Nov-10,0.7,-8.2,0,-10.1,2.4,1008.9,1.036,
30-Nov-10,4.1,-1.4,0,-9.4,6.8,1012.2,1.204,
01-Dec-10,0.9,-2.7,0,-4.5,9.4,1011,1.311,
02-Dec-10,1.3,-7.6,0,-2.7,5.4,1010.2,1.395,
03-Dec-10,2.4,-8.3,0,-1.8,0,1003.2,1.495,
04-Dec-10,2.2,-1.3,0,-1.5,2.2,998.4,1.561,
05-Dec-10,-0.8,-2.4,0,-0.1,0,1001,1.537,
06-Dec-10,-0.1,-6.7,0,-4.2,1.9,997.2,1.461,
07-Dec-10,3,-3.7,0,-5.4,5.1,1002.2,1.499,
08-Dec-10,-1.5,-6.9,0,-4,0,1015.9,1.285,
09-Dec-10,3.8,-2.2,0,-4.1,0,1026.3,1.364,
10-Dec-10,5.7,3,0,-1.3,0.1,1027.4,1.382,
11-Dec-10,5.9,-0.4,0,-0.1,0.3,1023.2,1.182,
12-Dec-10,6.7,-1,0,-5.1,0,1019.7,1.161,
13-Dec-10,6,3.3,0,-5,0,1023.8,1.226,
14-Dec-10,4.9,-1.1,0,-4.8,0,1031.4,1.178,
15-Dec-10,5.1,1.6,0,-4.5,0.1,1030.9,1.8,
16-Dec-10,7.8,-2.1,0,1.7,0.5,1014.1,3.257,
17-Dec-10,0.7,-2.6,0,-7.2,0.1,994.2,1.251,
18-Dec-10,0,-7.5,0,-6.9,0,986.8,0.97,
19-Dec-10,2.8,-8.4,0,-13.2,0,991,0.37,
20-Dec-10,0,-7.3,0,-12.7,0.8,995.8,0.102,
21-Dec-10,1.1,-9.4,0,-12.2,12.3,999.8,-0.005,
22-Dec-10,0.2,-9.8,0,-9.4,0,1005.7,0.169,
23-Dec-10,0.3,-8.8,0,-2.6,10.8,1013.4,0.298,
24-Dec-10,-4.8,-10.6,0,-2,0.2,1019.7,0.441,
25-Dec-10,-5.8,-10.8,0,-2.3,0,1023.4,0.54,
26-Dec-10,5.1,-8.4,0,-2.6,4,1013.1,0.587,
27-Dec-10,9.4,4.7,0,-1.7,10.6,1000.1,0.602,
28-Dec-10,11.7,3.2,0,-0.4,0,1001,1.596,
29-Dec-10,9.8,5.3,0,-0.2,0,1010.6,3.713,
30-Dec-10,9.1,7.3,0,0.4,0.2,1017.6,5.527,
31-Dec-10,8,5.5,0,5.4,0,1020.9,5.74,
01-Jan-11,7.8,2.5,0,3.8,0,1022.7,5.111,
02-Jan-11,3.9,0.6,0,-1.3,0.1,1024.4,3.353,
03-Jan-11,2.4,-2.8,0,-0.8,0,1017.4,2.168,
04-Jan-11,5.7,2,0,-7.3,0.8,1002,2.114,
05-Jan-11,5.8,0.6,0,-0.7,0.7,989,2.397,
06-Jan-11,3.6,-4.6,0,-5,0,992.5,1.452,
07-Jan-11,5,-5.2,0,-10.6,10.6,990.1,0.998,
08-Jan-11,3.9,-1.3,0,-4.1,0.2,990.5,1.181,
09-Jan-11,5,0.4,0,-2.3,0,1001.4,1.017,
10-Jan-11,9,4.4,0,-5.1,3.2,995.3,1.96,
11-Jan-11,8.1,1.7,0,-1.7,1.7,997.5,2.71,
12-Jan-11,12.1,8.1,0,-1.6,1.5,997.7,5.695,
13-Jan-11,12,9.5,0,7.2,1.5,997.9,7.28,
14-Jan-11,10.8,6.1,0,5.7,1.6,997.4,5.915,
15-Jan-11,12.8,8.7,0,1.8,4.3,994.6,7.395,
16-Jan-11,12,5.8,0,5,0,1001.5,7.296,
17-Jan-11,7.3,1,0,-3.2,0,1014.1,3.814,
18-Jan-11,5.3,-0.7,0,-6.3,0,1024.3,2.122,
19-Jan-11,6,-3.9,0,-9.1,0,1030.6,1.294,
20-Jan-11,3.1,-5.8,0,-10.1,0,1033.2,0.553,
21-Jan-11,3.9,-4.2,0,-9,0,1035.8,0.319,
22-Jan-11,5.9,-1.5,0,-7.6,0,1036.4,0.509,
23-Jan-11,4.3,1.2,0,-0.6,0,1035.1,1.039,
24-Jan-11,6.8,2.3,0,0.5,0,1028.7,2.835,
25-Jan-11,9.2,5,0,2.3,1.6,1015.9,4.598,
26-Jan-11,6.9,4.8,0,0.9,0.3,1011.5,4.527,
27-Jan-11,5.2,2.6,0,-0.6,0.4,1017.8,3.38,
28-Jan-11,3.8,-0.5,0,-4.5,0,1019.8,2.22,
29-Jan-11,4.8,-0.1,0,-4.7,0,1019.2,2.237,
30-Jan-11,3.1,-3.2,0,-3.6,0,1018.7,2.346,
31-Jan-11,8.6,-3.4,0,-8.1,0.2,1015.7,1.986,
01-Feb-11,10.6,5.7,0,-5,0.8,1015,4.444,
02-Feb-11,12.7,4,0,-0.4,1,1009.6,5.608,
03-Feb-11,9.9,2.9,0,-0.7,4.9,1006.3,4.236,
04-Feb-11,13.3,7.8,0,-0.5,6.1,998.8,7.132,
05-Feb-11,12.1,6.6,0,7.1,25,1001.7,7.92,
06-Feb-11,12.2,6.5,0,5.8,11.8,1002.7,7.637,
07-Feb-11,11.2,1.7,0,6.2,1.4,1000.2,7.221,
08-Feb-11,10.7,-1.8,0,-7.1,0.1,1008.8,4.299,
09-Feb-11,12.2,6.9,0,-3.3,6.9,1003.1,7.184,
10-Feb-11,8.9,5.6,0,3.4,0.1,1003.3,6.896,
11-Feb-11,10.6,4.7,0,0.1,1.1,1001.5,6.706,
12-Feb-11,9,0.1,0,-5.2,0.1,997.1,4.957,
13-Feb-11,8.9,1.6,0,-3,0.9,987.5,6.202,
14-Feb-11,7.5,0.4,0,-2.4,0,988,4.959,
15-Feb-11,7.3,3.4,0,-4.3,11.7,979.4,4.558,
16-Feb-11,8.7,-0.5,0,-5.5,2,984.6,4.492,
17-Feb-11,7.3,3,0,-3.4,3.1,996.9,5.71,
18-Feb-11,8.2,1.9,0,-2.4,0.5,998.5,4.74,
19-Feb-11,13.1,2.3,0,-1.6,0,1000,6.182,
20-Feb-11,9.1,2.4,0,-2.2,0.5,1003.7,5.844,
21-Feb-11,11.2,5.1,0,2,3,1003.8,6.785,
22-Feb-11,11.3,4.9,0,-0.2,1.1,1005.7,6.859,
23-Feb-11,14.1,9.2,0,6,0.4,1005.9,8.755,
24-Feb-11,15.7,7.9,0,2.4,0,1010.2,8.465,
25-Feb-11,13.9,8.9,0,6,0.3,1010,9.337,
26-Feb-11,10.8,2.7,0,2.1,0.6,1011.4,8.083,
27-Feb-11,10.3,1.3,0,-0.8,0.9,1020.3,5.938,
28-Feb-11,9.9,-0.8,0,-6.1,0,1028.6,4.734,
01-Mar-11,10.7,-2.2,0,-6.3,0,1032.9,4.669,
02-Mar-11,9.2,-3.5,0,-8,0,1032.3,4.057,
03-Mar-11,8.9,-3.1,0,-7.7,0,1031.8,4.161,
04-Mar-11,10.4,0,0,-4.2,0,1028.4,5.523,
05-Mar-11,9.1,5.2,0,4.1,0,1026.4,6.719,
06-Mar-11,7.9,1.5,0,5.1,0.4,1025.1,6.654,
07-Mar-11,10.6,-0.4,0,-4.7,0,1021.9,5.775,
08-Mar-11,10.5,-1.5,0,-7.2,0,1012.2,5.064,
09-Mar-11,11.5,4.1,0,1.5,1.2,1005.1,6.466,
10-Mar-11,11,3.6,0,5.7,0.9,1002.6,7.047,
